Achse,Bedeutung
3,Ursprung / Startpunkt
4,Mechanismus / Richtung
6,Dreieck / Bind‑Geo‑Meta
9,Aggregatpunkt
27,Build‑Wurzel
81,Aggregatraum
756,Systemwurzel
tmp,Zwischenraum
